"ID","hole_robbing"
"pA1092","1"
"pA1094","1"
"pA1106","1"
"pA1129","1"
"pA1131","1"
"pA1132","1"
"pA1134","1"
"pA1140","1"
"pA1157","1"
"pA1158","1"
"pA1183","1"
"pA1209","1"
"pA1210","1"
"pA1217","1"
"pA1252","1"
"pA0004","0"
"pA0005","0"
"pA0008","0"
"pA0009","0"
"pA0020","0"
"pA0027","0"
"pA0035","0"
"pA0042","0"
"pA0050","0"
"pA0063","0"
"pA0068","0"
"pA0081","0"
"pA0083","0"
"pA0086","0"
"pA0091","0"
"pA0092","0"
"pA0096","0"
"pA0100","0"
"pA0138","0"
"pA0146","0"
"pA0167","0"
"pA0169","0"
"pA0172","0"
"pA0179","0"
"pA0184","0"
"pA0191","0"
"pA0207","0"
"pA0212","0"
"pA0234","0"
"pA0238","0"
"pA0239","0"
"pA0243","0"
"pA0267","0"
"pA0269","0"
"pA0279","0"
"pA0281","0"
"pA0283","0"
"pA0305","0"
"pA0310","0"
"pA0311","0"
"pA0312","0"
"pA0316","0"
"pA0317","0"
"pA0326","0"
"pA0328","0"
"pA0348","0"
"pA0352","0"
"pA0353","0"
"pA0362","0"
"pA0365","0"
"pA0379","0"
"pA0380","0"
"pA0421","0"
"pA0426","0"
"pA0427","0"
"pA0433","0"
"pA0434","0"
"pA0435","0"
"pA0443","0"
"pA0470","0"
"pA0471","0"
"pA0478","0"
"pA0485","0"
"pA0487","0"
"pA0488","0"
"pA0491","0"
"pA0492","0"
"pA0495","0"
"pA0497","0"
"pA0501","0"
"pA0504","0"
"pA0509","0"
"pA0514","0"
"pA0516","0"
"pA0517","0"
"pA0525","0"
"pA0531","0"
"pA0532","0"
"pA0537","0"
"pA0539","0"
"pA0550","0"
"pA0554","0"
"pA0570","0"
"pA0574","0"
"pA0578","0"
"pA0585","0"
"pA0587","0"
"pA0596","0"
"pA0604","0"
"pA0606","0"
"pA0607","0"
"pA0608","0"
"pA0610","0"
"pA0615","0"
"pA0626","0"
"pA0627","0"
"pA0628","0"
"pA0629","0"
"pA0631","0"
"pA0632","0"
"pA0634","0"
"pA0636","0"
"pA0638","0"
"pA0645","0"
"pA0647","0"
"pA0652","0"
"pA0660","0"
"pA0666","0"
"pA0682","0"
"pA0683","0"
"pA0687","0"
"pA0689","0"
"pA0690","0"
"pA0697","0"
"pA0700","0"
"pA0704","0"
"pA0708","0"
"pA0709","0"
"pA0715","0"
"pA0723","0"
"pA0725","0"
"pA0735","0"
"pA0738","0"
"pA0739","0"
"pA0741","0"
"pA0742","0"
"pA0747","0"
"pA0748","0"
"pA0760","0"
"pA0761","0"
"pA0762","0"
"pA0765","0"
"pA0767","0"
"pA0775","0"
"pA0779","0"
"pA0782","0"
"pA0784","0"
"pA0786","0"
"pA0787","0"
"pA0791","0"
"pA0801","0"
"pA0805","0"
"pA0806","0"
"pA0808","0"
"pA0811","0"
"pA0814","0"
"pA0839","0"
"pA0844","0"
"pA0847","0"
"pA0854","0"
"pA0856","0"
"pA0857","0"
"pA0858","0"
"pA0866","0"
"pA0868","0"
"pA0870","0"
"pA0871","0"
"pA0872","0"
"pA0874","0"
"pA0877","0"
"pA0880","0"
"pA0889","0"
"pA0890","0"
"pA0891","0"
"pA0903","0"
"pA0909","0"
"pA0917","0"
"pA0936","0"
"pA0945","0"
"pA0974","0"
"pA0982","0"
"pA0983","0"
"pA0986","0"
"pA0989","0"
"pA0990","0"
"pA0992","0"
"pA0996","0"
"pA0999","0"
"pA1000","0"
"pA1003","0"
"pA1015","0"
"pA1039","0"
"pA1040","0"
"pA1061","0"
"pA1066","0"
"pA1072","0"
"pA1091","0"
"pA1100","0"
"pA1138","0"
"pA1147","0"
"pA1174","0"
"pA1182","0"
"pA1196","0"
"pA1214","0"
"pA1242","0"
"pA1245","0"
"pA1248","0"
"pA1253","0"
"pA1346","0"
"pA0144","1"
